DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-12-07;TF583R;0;10,000;10000;032049320;10;1;2023-12-07;100;100
2023-12-07;TF583R;0;10,000;10000;063821360;20;1;2023-12-07;100;100
2023-12-07;DI1N24;0;10,910;50;090000017;10;1;2023-12-07;114;114
2023-12-07;BGIF24;0;250,000;1;090000020;70;1;2023-12-07;;
2023-12-07;BGIZ23;0;249,750;1;090000020;40;1;2023-12-07;;
2023-12-07;BGIZ23;0;249,750;1;090000020;50;1;2023-12-07;;
2023-12-07;BGIZ23;0;249,750;1;090000020;60;1;2023-12-07;;
2023-12-07;SJCK24P002500;0;0,100;67;090001840;10;1;2023-12-07;;
2023-12-07;SJCK24P002950;0;1,180;67;090001840;10;1;2023-12-07;;
2023-12-07;DI1F27;0;10,100;5;090005247;10;1;2023-12-07;114;3
2023-12-07;DI1N24;0;10,910;1;090010003;20;1;2023-12-07;1618;120
2023-12-07;DI1F28;0;10,400;42;090016983;10;1;2023-12-07;3701;114
2023-12-07;DI1F28;0;10,410;2;090017767;20;1;2023-12-07;3;114
2023-12-07;DI1F28;0;10,400;8;090017767;30;1;2023-12-07;3701;114
2023-12-07;BGIH24C026200;0;3,000;3;090020147;10;1;2023-12-07;;
2023-12-07;BGIH24P022500;0;1,750;3;090020147;10;1;2023-12-07;;
2023-12-07;BGIH24P024000;0;5,000;3;090020147;10;1;2023-12-07;;
2023-12-07;DI1F25;0;10,310;1;090030000;10;1;2023-12-07;114;114
2023-12-07;DI1F25;0;10,310;2;090031077;20;1;2023-12-07;114;114
2023-12-07;DI1F25;0;10,310;23;090031077;30;1;2023-12-07;114;238
2023-12-07;DI1F25;0;10,310;20;090033107;40;1;2023-12-07;114;114
2023-12-07;DI1F25;0;10,310;35;090034710;50;1;2023-12-07;114;114
2023-12-07;WING24;0;128000,000;10;090036540;10;1;2023-12-07;107;107
2023-12-07;WING24;0;128000,000;2;090036540;20;1;2023-12-07;4090;3
2023-12-07;WING24;0;128000,000;15;090036540;30;1;2023-12-07;3701;3
2023-12-07;WING24;0;128000,000;10;090036540;40;1;2023-12-07;120;3
2023-12-07;WING24;0;128000,000;1;090036540;50;1;2023-12-07;93;3
2023-12-07;WING24;0;128000,000;11;090036540;60;1;2023-12-07;93;85
2023-12-07;WING24;0;128000,000;10;090036540;70;1;2023-12-07;93;3
2023-12-07;WING24;0;128000,000;1;090036540;80;1;2023-12-07;93;85
2023-12-07;WING24;0;128000,000;1;090036540;90;1;2023-12-07;93;85
2023-12-07;WING24;0;128000,000;1;090036540;100;1;2023-12-07;93;3
2023-12-07;WING24;0;128000,000;2;090036540;110;1;2023-12-07;3;3
2023-12-07;WING24;0;128000,000;5;090036943;120;1;2023-12-07;107;3
2023-12-07;WING24;0;128000,000;2;090040007;130;1;2023-12-07;3701;3
2023-12-07;WING24;0;128000,000;1;090040007;140;1;2023-12-07;3701;85
2023-12-07;WING24;0;128000,000;1;090040007;150;1;2023-12-07;3701;8
2023-12-07;DOLF24;0;4906,000;10;090041220;10;1;2023-12-07;88;308
2023-12-07;DOLF24;0;4906,000;5;090041220;20;1;2023-12-07;88;88
2023-12-07;DOLF24;0;4906,000;10;090041220;30;1;2023-12-07;88;93
2023-12-07;DOLF24;0;4906,000;10;090041220;40;1;2023-12-07;88;93
2023-12-07;DOLF24;0;4906,000;5;090041220;50;1;2023-12-07;88;93
2023-12-07;DOLF24;0;4906,000;5;090041220;60;1;2023-12-07;85;85
2023-12-07;DOLF24;0;4906,000;5;090041220;70;1;2023-12-07;72;85
2023-12-07;DOLF24;0;4906,000;20;090041220;80;1;2023-12-07;72;23
2023-12-07;DOLF24;0;4906,000;10;090041503;90;1;2023-12-07;93;23
2023-12-07;DOLF24;0;4906,000;20;090041503;100;1;2023-12-07;120;23
2023-12-07;DOLF24;0;4907,500;5;090041973;110;1;2023-12-07;93;1618
2023-12-07;DOLF24;0;4906,000;5;090042417;120;1;2023-12-07;120;3
2023-12-07;DOLF24;0;4906,000;5;090042417;130;1;2023-12-07;120;3
2023-12-07;DI1F29;0;10,530;3;090042930;10;1;2023-12-07;114;122
2023-12-07;DI1F29;0;10,530;1;090042930;20;1;2023-12-07;114;122
2023-12-07;DI1F29;0;10,530;1;090042930;30;1;2023-12-07;115;122
2023-12-07;DI1F29;0;10,530;3;090042930;40;1;2023-12-07;115;114
